image,title,description,price
Kitchen,,,
_DSC0047.jpg,Venmar Under Cabinet Hood Fan,"30"" Black and stainless steel",$25.00 
_DSC0049.jpg,Venmar logo,,$25.00 
_DSC0052.jpg,Kitchenaid Superba Range,"30"" Black and stainless steel",$350.00 
_DSC0048.jpg,Kitchenaid Superba Range,"Detail photo - 30"" Black and stainless steel",$350.00 
_DSC0051.jpg,Kitchenaid Superba Range,"Detail photo - 30"" Black and stainless steel",$350.00 
_DSC0054.jpg,Kitchenaid Superba Dishwasher,"24"" Black ",$100.00 
_DSC0055.jpg,Kitchenaid Superba Dishwasher,"Detail photo - 24"" Black",$100.00 
_DSC0057.jpg,GE Microwave,"20"" Stainless steel",$20.00 
_DSC0060.jpg,GE Microwave owners manual,included with microwave,.
_DSC0058.jpg,Sub-Zero 650,"36"" Stainless Steel - like new, makes ice.",$900.00 obo
_DSC0059.jpg,Sub-Zero logo,,$900.00 obo
_DSC0061.jpg,Sub-Zero 650,Detail photo fridge interior,$900.00 obo
_DSC0062.jpg,Sub-Zero 650,Detail photo Sub-Zero 650 model number,$900.00 obo
_DSC0063.jpg,Full kitchen cabinets and counter tops,"Kitchen uppers 168"" 
Lowers 192""x25""
Peninsula 72""x38""
Full wall 128""
Appliances sold separate",$1900.00 obo
_DSC0064.jpg,Full kitchen cabinets and counter tops,"Kitchen uppers 168"" 
Lowers 192""x25""
Peninsula 72""x38""
Full wall 128""
Appliances sold separate",$1900.00 obo
_DSC0065.jpg,Full kitchen cabinets and counter tops,"Kitchen uppers 168"" 
Lowers 192""x25""
Peninsula 72""x38""
Full wall 128""
Appliances sold separate",$1900.00 obo
_DSC0066.jpg,Full kitchen cabinets and counter tops,"Kitchen uppers 168"" 
Lowers 192""x25""
Peninsula 72""x38""
Full wall 128""
Appliances sold separate",$1900.00 obo
_DSC0121.jpg,Kitchen Cabinet - built in wine rack,,$1900.00 obo
Lights,,,
_DSC0038.jpg,Exterior Coach Light,"20"" tall flat black finish",$25.00 
_DSC0039.jpg,Exterior Coach Light,"20"" tall flat black finish",$25.00 
_DSC0040.jpg,Exterior Coach Light,"20"" tall flat black finish",$25.00 
